Biomark Device Manager Version 1.2.19
Export All Records To File
Export Date/Time: 3/22/2024 3:34:32 PM

Scan Date   Scan Time     Download Date  Download Time  Reader ID  Antenna ID  HEX Tag ID      DEC Tag ID        Temperature,C  Signal,mV  Is Duplicate  Latitude  Longitude  File Name  
----------  ------------  -------------  -------------  ---------  ----------  --------------  ----------------  -------------  ---------  ------------  --------  ---------  ---------  
10/23/2023  15:35:53.300  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:53.360  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:53.420  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:53.480  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:53.540  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:53.610  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:53.670  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:53.730  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:53.790  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:53.850  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:53.910  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:53.970  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:54.030  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:54.090  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:54.120  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:54.150  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:54.180  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:54.210  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:54.250  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:54.280  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:54.320  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:54.390  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:54.450  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:54.510  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:54.570  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:54.640  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:54.700  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:54.760  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:54.830  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:54.890  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:54.950  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:55.010  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:55.080  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:55.140  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:55.190  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:55.260  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:55.320  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:55.350  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:55.380  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:55.410  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:55.440  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:55.500  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:55.560  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:55.620  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:55.650  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:55.680  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:55.710  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:55.740  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:55.770  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:55.840  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:55.900  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:55.960  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:56.020  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:56.090  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:56.160  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:56.230  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:56.300  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:56.350  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:56.410  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:56.470  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:56.530  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:56.590  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:56.650  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:56.720  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:56.780  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:56.830  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:56.860  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:56.930  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:56.990  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:57.050  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:57.110  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:57.230  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:57.430  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:57.500  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:57.570  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:57.640  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:57.710  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:57.780  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:57.840  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:57.900  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:57.970  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:58.040  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:58.790  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:58.850  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:58.910  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:58.950  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:59.010  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:59.080  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:59.150  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:59.210  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:59.270  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
